No,Process,Menu,BA Section,BA Sub-section,BA UI Field,BA Mandatory,BA Edit type (ESS),BA Edit type (admin),Section on screen?,Screen section (EN),Screen section (TH),Status,Matched UI label on screen,Note,Evidence screenshot
28,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Province,Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),Address (composite string),shots/en-emp-contact-address.png
29,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Postal Code,Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),Address (composite string),shots/en-emp-contact-address.png
30,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Country,Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
31,Hiring,Personal,Contact (ข้อมูลติดต่อ),Home Address,Attachment,Not Required,edit with approval flow_1,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
32,Hiring,Personal,Contact (ข้อมูลติดต่อ),Email Information,Email Type,Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
33,Hiring,Personal,Contact (ข้อมูลติดต่อ),Email Information,Email Address,Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,FOUND,Email / อีเมล,,shots/en-emp-contact-address.png
34,Hiring,Personal,Contact (ข้อมูลติดต่อ),Email Information,Is Primary,Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),★ marker on the primary phone/email,shots/en-emp-contact-address.png
35,Hiring,Personal,Contact (ข้อมูลติดต่อ),Phone Information,Phone Type,Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),"shown inline in the phone value, e.g. ""(มือถือ)""",shots/en-emp-contact-address.png
36,Hiring,Personal,Contact (ข้อมูลติดต่อ),Phone Information,Country Code,Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),"shown inline in the phone value, e.g. ""+66""",shots/en-emp-contact-address.png
37,Hiring,Personal,Contact (ข้อมูลติดต่อ),Phone Information,Phone Number,Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,FOUND,Phone / โทรศัพท์,,shots/en-emp-contact-address.png
38,Hiring,Personal,Contact (ข้อมูลติดต่อ),Phone Information,Extension,Not Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
39,Hiring,Personal,Contact (ข้อมูลติดต่อ),Phone Information,Is Primary,Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,PARTIAL,(no dedicated label),★ marker on the primary phone/email,shots/en-emp-contact-address.png
40,Hiring,Personal,Contact (ข้อมูลติดต่อ),Social Accounts Information,Domain,Not Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
41,Hiring,Personal,Contact (ข้อมูลติดต่อ),Social Accounts Information,Instant Messaging ID,Not Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
42,Hiring,Personal,Contact (ข้อมูลติดต่อ),Social Accounts Information,URL,Not Required,edit without approval,edit without approval,YES,Contact & address,การติดต่อและที่อยู่,MISSING,,"Section ""Contact & address"" is on screen, but this field is not rendered",shots/en-emp-contact-address.png
43,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Relationship,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,PARTIAL,(no dedicated label),card summary line,shots/en-emp-dependents.png
44,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Salutation (EN),Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
45,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Phone,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
46,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Firstname (EN),Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,PARTIAL,(no dedicated label),card summary line,shots/en-emp-dependents.png
47,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Lastname (EN),Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,PARTIAL,(no dedicated label),card summary line,shots/en-emp-dependents.png
48,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Salutation (Local),Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
49,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Firstname (Local),Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
50,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Lastname (Local),Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
51,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Nationality,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
52,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Date of Birth,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,PARTIAL,(no dedicated label),card summary line,shots/en-emp-dependents.png
53,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent national ID,Country,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
54,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent national ID,National ID Card Type,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
55,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent national ID,National ID / Tax ID,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
56,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Primary,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
57,Hiring,Personal,Dependents (บุคคลในอุปการะ),,Attachment,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
58,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Copy Address from Employee,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
59,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,House Number,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
60,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Building,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
61,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Floor,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
62,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Village,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
63,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Moo,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
64,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Lane / Soi,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
65,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Street,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
66,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Province,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
67,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,District,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
68,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Sub-District,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
69,Hiring,Personal,Dependents (บุคคลในอุปการะ),Dependent contact address,Postal Code,Not Required,edit without approval,edit without approval,YES,Dependents,ผู้อุปการะ,MISSING,,"Section ""Dependents"" is on screen, but this field is not rendered",shots/en-emp-dependents.png
70,Hiring,Employment,Employment Details (ข้อมูลการจ้างงาน),,CG previous Employee ID,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
71,Hiring,Employment,Employment Details (ข้อมูลการจ้างงาน),,Hire Date,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,FOUND,Hire Date / วันที่เริ่มงาน,,shots/en-emp-employment.png
72,Hiring,Employment,Employment Details (ข้อมูลการจ้างงาน),,Retire­ment Date,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
73,Hiring,Employment,Employment Details (ข้อมูลการจ้างงาน),,Original Start Date,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,FOUND,Original Start Date / วันที่เริ่มงานครั้งแรก,,shots/en-emp-employment.png
74,Hiring,Employment,Employment Details (ข้อมูลการจ้างงาน),,Seniority Start Date,Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
75,Hiring,Employment,Employment Details (ข้อมูลการจ้างงาน),,DVT previous ID,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
76,Hiring,Employment,Employment Details (ข้อมูลการจ้างงาน),,PF service Date,Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,MISSING,,"Section ""Employment information"" is on screen, but this field is not rendered",shots/en-emp-employment.png
77,Hiring,Employment,Employment Details (ข้อมูลการจ้างงาน),,Employee age (Y/M/D),Not Required,view,,YES,Employment information,ข้อมูลการจ้างงาน,FOUND,Age / อายุ (snapshot header),,shots/en-emp-employment.png
78,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Degree,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
79,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Country,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
80,Hiring,Personal,Formal Education (การศึกษา),Formal Education,University,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
81,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Others,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
82,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Faculty,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
83,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Major,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
84,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Other Major,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
85,Hiring,Personal,Formal Education (การศึกษา),Formal Education,GPA,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
86,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Graduated Date,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
87,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Attachment,,,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
88,Hiring,Personal,Formal Education (การศึกษา),Formal Education,Is primary,Not Required,edit without approval,edit without approval,NO,,,MISSING,,No section for this BA group on the Employee File screen,shots/en-EMP-0002-full.png
89,Hiring,Personal,Global Information (ข้อมูลทั่วไป),Global Information (ข้อมูลทั่วไป),Country/Region,Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
90,Hiring,Personal,Global Information (ข้อมูลทั่วไป),Global Information (ข้อมูลทั่วไป),Attachment,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
91,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Number of children,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
92,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Religion,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
93,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Disability Status,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,FOUND,Disability / ความพิการ,,shots/en-emp-advanced.png
94,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Disability Certificate Start Date,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
95,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Disability Certificate End Date,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
96,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Type of Disability,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,PARTIAL,(no dedicated label),folded into the single Disability yes/no value,shots/en-emp-advanced.png
97,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Certificate ID,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
98,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Spouse's Father ID Number,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
99,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Spouse's Mother ID Number,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
100,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Additional Information,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
101,Hiring,Personal,Global Information (ข้อมูลทั่วไป),,Number of Children,Not Required,edit with approval flow_1,edit without approval,YES,Advanced personal,ข้อมูลส่วนบุคคลเพิ่มเติม,MISSING,,"Section ""Advanced personal"" is on screen, but this field is not rendered",shots/en-emp-advanced.png
102,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Hire Date,Required,view,,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,FOUND,Hire Date / วันที่เริ่มงาน (Employment information card),,shots/en-emp-header.png
103,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Company,Required,view,,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,FOUND,Company / บริษัท (Employment information card),,shots/en-emp-header.png
104,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Event reason,Required,N/A,,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
105,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Date of Birth,Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
106,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Country of Birth,Not Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
107,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Region of Birth,Not Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
108,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Age,Required,view,view,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,FOUND,Age / อายุ (snapshot header),,shots/en-emp-header.png
109,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Employee ID,Required,view,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,FOUND,Employee ID (snapshot header),,shots/en-emp-header.png
110,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Replaced Employee ID,Required,view,,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
111,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Salutation (EN),Required,edit with approval flow_1,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
112,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Firstname (EN),Required,edit with approval flow_1,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,FOUND,EN name line (snapshot header),,shots/en-emp-header.png
113,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Middle Name (EN),Not Required,edit with approval flow_1,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,MISSING,,"Section ""Employee snapshot header"" is on screen, but this field is not rendered",shots/en-emp-header.png
114,Hiring,Personal,Identity (ข้อมูลระบุตัวตน),Identity,Lastname (EN),Required,edit with approval flow_1,edit without approval,YES,Employee snapshot header,ส่วนหัวข้อมูลพนักงาน,FOUND,EN name line (snapshot header),,shots/en-emp-header.png
